"FileName","ChangeChurn"
"preflight.src.main.java.org.apache.pdfbox.preflight.graphic.StandardColorSpaceHelper_java","1404"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDChoice_java","1403"
"src.org.pdfbox.pdfparser.BaseParser_java","1393"
"pdfbox.src.test.java.org.apache.pdfbox.encryption.TestSymmetricKeyEncryption_java","1385"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.FontMapper_java","1382"
"fontbox.src.main.java.org.apache.fontbox.ttf.TrueTypeFont_java","1377"
"pdfbox.src.test.java.org.apache.pdfbox.util.TestImageIOUtils_java","1358"
"preflight.src.main.java.org.apache.pdfbox.preflight.utils.COSUtils_java","1356"
"pdfbox.src.main.java.org.apache.pdfbox.text.TextPosition_java","1354"
"src.main.java.org.apache.pdfbox.util.PDFStreamEngine_java","1340"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDAppearanceString_java","1335"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.HKscs-B5-H","1331"
"preflight.src.main.java.org.apache.pdfbox.preflight.process.TrailerValidationProcess_java","1325"
"src.main.java.org.apache.pdfbox.util.TextPosition_java","1322"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.PatchMeshesShadingContext_java","1320"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.util.Type1_java","1319"
"src.org.pdfbox.pdmodel.PDDocument_java","1319"
"src.main.java.org.pdfbox.cos.COSDictionary_java","1317"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.PDFAExtensionSchema_java","1302"
"fontbox.src.main.java.org.apache.fontbox.ttf.TTFSubFont_java","1298"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.HKgccs-B5-H","1298"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.parser.DateConverter_java","1288"
"tools.src.main.java.org.apache.pdfbox.tools.PDFReader_java","1283"
"pdfbox.src.main.java.org.apache.pdfbox.util.ImageIOUtil_java","1283"
"src.main.java.org.apache.pdfbox.pdmodel.PDDocument_java","1281"
"xmpbox.src.main.java.org.apache.xmpbox.XMPMetadata_java","1281"
"pdfbox.src.main.java.org.apache.pdfbox.text.PDFTextStripper_java","1280"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.HKm314-B5-H","1278"
"pdfbox.src.main.java.org.apache.pdfbox.util.PDFMergerUtility_java","1276"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.PDFStreamEngine_java","1264"
"src.main.java.org.pdfbox.pdfparser.BaseParser_java","1255"
"preflight.src.main.javacc.pdf_full_grammar_jj","1254"
"preflight.src.test.java.org.apache.padaf.preflight.xmp.TestSynchronizedMetadataValidation_java","1252"
"pom_xml","1237"
"src.org.pdfbox.util.PDFTextStripper_java","1237"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.xobject.PDPixelMap_java","1233"
"pdfbox.src.test.java.org.apache.pdfbox.cos.TestCOSFloat_java","1228"
"Resources.cmap.ETHK-B5-H","1222"
"src.main.resources.Resources.cmap.ETHK-B5-H","1222"
"src.org.pdfbox.pdfwriter.COSWriter_java","1220"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDRadioButton_java","1219"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.type.TypeMapping_java","1219"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.PDCIDFontType2_java","1214"
"preflight.src.main.java.org.apache.padaf.preflight.utils.ContentStreamEngine_java","1188"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler_java","1174"
"preflight.src.main.java.org.apache.padaf.preflight.font.type1.Type1Parser_java","1166"
"test.input.test_rotate_270_txt","1162"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.XMPRightsManagementSchema_java","1154"
"xmpbox.src.main.java.org.apache.xmpbox.schema.XMPBasicSchema_java","1151"
"website.src.documentation.skinconf_xml","1150"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.type.ResourceRefType_java","1145"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.JPEGFactory_java","1144"
"src.main.java.org.apache.pdfbox.pdfwriter.COSWriter_java","1142"
"src.main.java.org.apache.pdfbox.pdmodel.font.PDFont_java","1138"
"LICENSE_txt","1134"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner_java","1132"
"preflight.src.main.java.org.apache.padaf.preflight.font.Type3FontValidator_java","1128"
"xmpbox.src.main.java.org.apache.padaf.xmpbox.schema.SchemaDescription_java","1126"
"fontbox.src.main.java.org.apache.fontbox.cmap.CMap_java","1122"
"examples.src.test.java.org.apache.pdfbox.examples.pdmodel.TestCreateSignature_java","1117"
"src.org.pdfbox.pdmodel.edit.PDPageContentStream_java","1117"
"jempbox.src.org.jempbox.xmp.XMPSchemaDublinCore_java","1116"
"src.main.resources.Resources.cmap.HKdla-B5-H","1116"
"Resources.cmap.HKdla-B5-H","1116"
"pdfbox.src.main.resources.org.apache.pdfbox.resources.cmap.KSC-H","1112"
"fontbox.src.main.java.org.apache.fontbox.ttf.TTFParser_java","1111"
"src.org.pdfbox.pdmodel.encryption.StandardSecurityHandler_java","1110"
"fontbox.src.org.fontbox.cmap.CMapParser_java","1104"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSString_java","1101"
"preflight.src.main.java.org.apache.padaf.preflight.xmp.SynchronizedMetaDataValidation_java","1100"
"preflight.src.main.javacc.old_pdf_full_grammar_jj","1094"
"xmpbox.src.main.java.org.apache.xmpbox.schema.PhotoshopSchema_java","1083"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.ExternalFonts_java","1080"
"website.status_xml","1072"
"src.main.java.org.pdfbox.pdfwriter.COSWriter_java","1072"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFAnnotation_java","1071"
"pdfbox.src.main.java.org.apache.pdfbox.persistence.util.COSHEXTable_java","1071"
"jempbox.eclipse-formatter_xml","1068"
"xmpbox.src.test.java.org.apache.xmpbox.schema.AbstractXMPSchemaTest_java","1065"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.PDFStreamParser_java","1064"
"jempbox.src.main.java.org.apache.jempbox.xmp.XMPSchemaDublinCore_java","1062"
"Resources.cmap.Adobe-Japan1-PS-H","1062"
"src.main.resources.Resources.cmap.Adobe-Japan1-PS-H","1062"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDButton_java","1054"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDCheckbox_java","1053"
"pdfbox.src.main.java.org.apache.pdfbox.io.ScratchFileBuffer_java","1053"
"pdfbox.src.main.java.org.apache.pdfbox.encoding.Encoding_java","1052"
