"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"fontbox.src.test.java.org.apache.fontbox.cmap.TestCMapParser_java","0","0","0","11","213","0","0","false","1","0","0","1","false"
"debugger.src.main.java.org.apache.pdfbox.debugger.colorpane.CSSeparation_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"pdfbox.src.test.java.org.apache.pdfbox.util.TestDateUtil_java","2","2","19","12","777","0","0","false","1","0","0","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.font.encoding.MacRomanEncoding_java","1","2","14","8","463","1","2","false","3","0","1","2","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.TestPDDocumentCatalog_java","1","1","2","15","292","0","3","false","2","0","0","4","false"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSString_java","1","1","2","19","1101","0","9","false","3","3","1","11","true"
"preflight.src.main.java.org.apache.pdfbox.preflight.process.reflect.SinglePageValidationProcess_java","0","0","0","15","641","1","9","false","3","1","1","20","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNodeTest_java","0","0","0","2","376","0","0","false","0","0","1","0","false"
"fontbox.src.main.java.org.apache.fontbox.encoding.Encoding_java","0","0","0","13","431","0","0","false","6","0","1","2","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFExpertEncoding_java","0","0","0","5","832","0","0","false","2","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject_java","1","1","4","41","2204","1","11","true","8","2","4","17","true"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.function.PDFunctionType3_java","1","1","22","11","253","1","2","false","6","0","2","7","false"
"fontbox.src.main.java.org.apache.fontbox.ttf.TTFDataStream_java","0","0","0","12","462","0","4","false","2","0","1","3","true"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDNonTerminalField_java","1","1","10","30","523","1","11","true","4","1","2","7","true"
"pdfbox.src.main.java.org.apache.pdfbox.pdfparser.EndstreamOutputStream_java","0","0","0","4","215","0","0","false","0","0","0","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.annotation.WidgetAnnotationValidator_java","0","0","0","6","230","1","2","false","4","1","1","12","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFAnnotationText_java","0","0","0","5","108","1","1","false","2","0","1","2","false"
"xmpbox.src.test.java.org.apache.xmpbox.SaveMetadataHelperTest_java","0","0","0","2","64","0","3","false","3","0","0","15","false"
"examples.src.main.java.org.apache.pdfbox.examples.signature.CMSProcessableInputStream_java","0","0","0","5","97","0","0","false","1","0","0","0","false"
"preflight.src.test.java.org.apache.pdfbox.preflight.integration.TestValidFiles_java","0","0","0","8","250","0","1","false","3","0","1","7","false"
"examples.src.main.java.org.apache.pdfbox.examples.rendering.CustomPageDrawer_java","0","0","0","4","209","0","1","false","2","0","0","1","false"
"xmpbox.src.main.java.org.apache.xmpbox.xml.XmpParsingException_java","0","0","0","2","98","0","1","false","3","0","0","15","false"
"xmpbox.src.main.java.org.apache.xmpbox.schema.XMPSchemaFactory_java","0","0","0","5","228","1","4","false","2","2","0","15","false"
"pdfbox.src.main.java.org.apache.pdfbox.filter.DecodeResult_java","0","0","0","3","74","1","0","false","1","1","0","1","false"
"tools.src.main.java.org.apache.pdfbox.tools.PDFBox_java","0","0","0","13","394","0","0","false","1","0","0","0","false"
"examples.src.main.java.org.apache.pdfbox.examples.signature.ValidationTimeStamp_java","0","0","0","2","147","0","0","false","1","0","0","0","false"
"preflight.src.test.java.org.apache.pdfbox.preflight.action.pdfa1b.TestSubmitAction_java","0","0","0","2","141","0","0","false","1","0","0","0","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.process.reflect.DestinationValidationProcess_java","0","0","0","2","125","1","0","false","0","1","1","0","false"
